title,label
"VIDEO Klaus Iohannis pledează pentru solidaritate transatlantică, la recepția ambasadei SUA cu ocazia Zilei Independenței",real
Mediastandard.ro: Algoritmul YouTube recomandă conținut instigator la ură și dezinformare,real
Săteni din Bolivia au distrus antene de telecomunicaţii din cauza temerilor legate de noul coronavirus,real
"Sfârșitul republicii automobilistice germane? O nouă eră, a automobilelor ecologice",real
"Coronavirus: Amânarea summitului UE-China programat în septembrie, în Germania",real
Pentagonul publică o listă de companii care ar avea legătură cu armata chineză,real
"Cel mai influent manager din presa europeană, editorial devastator la adresa Chinei: Ce vor UE și Germania? O alianță cu democrația imperfectă din SUA sau cu dictatura perfectă din China? Alegerea nu e doar despre bani, ci despre libertate și demnitatea umană",real
Oprea (ADR): Se lucrează la un sistem de interoperabilitate a bazelor de date deţinute de instituţiile publice din România,real
STUDIU Pandemia grăbeşte transformarea centrelor oraşelor în zone prietenoase cu pietonii şi bicicliştii,real
Premierul italian Giuseppe Conte promite un plan 'clar' pentru relansarea economiei,real
"DOCUMENT Două site-uri, închise de autorități pentru că au publicat știri false legate de coronavirus",real
"Efectele pandemiei COVID-19 în rețeaua Orange România: Consumul de internet a crescut cu 39%, acoperirea 5G a fost extinsă, dar veniturile companiei au scăzut",real
"VIDEO Ambasadorul SUA la București, mesaj electoral de Ziua Națională: Guvernul Orban a aplicat reforme pentru a restaura statul de drept / Corupţia endemică şi baronii roşii rămaşi din anii regimului comunist nu îşi au locul în România modernă",real
Europarlamentarul PLUS Dragoș Tudorache cere Comisiei Europene dezvoltarea propriei tehnologii 5G de către UE: Este o adaptare imperativă la o lume în care dependența și vulnerabilitatea în fața unui regim nedemocratic și netransparent precum cel din China ne costă mii de vieți,real
"Coronavirus: Antene de telecomunicaţii, atacate pe fondul teoriilor conspiraţiei în Marea Britanie",real
"Comisia Europeană simplifică normele privind ajutoarele de stat, pentru a combate efectele economice ale pandemiei",real
Editorial  Putem să fim o echipă națională?,real
Schimbare radicală de poziție a Marii Britanii. Premierul Boris Johnson vrea să reducă la zero implicarea Huawei în dezvoltarea rețelei 5G până în 2023,real
"Mișcări tectonice în jurul României: Retragerea trupelor americane din Germania, schimbarea majoră a Statelor Unite față de Rusia din cauza Chinei și cum transformă pandemia Uniunea Europeană",real
România trebuie să dea startul unui proces amplu de consolidare fiscal-bugetară în acest an (Consiliul Fiscal),real
Trump anunță că a anulat discuțiile comerciale cu China din cauza răspunsului la pandemie,real
Twitter va adăuga etichete şi mesaje de avertizare la unele tweeturi cu informaţii controversate sau înşelătoare despre COVID-19,real
"Ministrul de Interne a decis redeschiderea unui site care a fost închis pentru știri false, cu promisiunea că acestea vor fi șterse",real
"GRAFICE ​La ce operațiuni renunță DIGI în Ungaria, după vânzarea afacerilor către o companie controlată de apropiați ai premierului Viktor Orban",real
Scandal diplomatic: Premierul Australiei somează China să își ceară scuze pentru o postare despre soldații australieni,real
Comisia Europeană trasează calea către o Europă autonomă din punct de vedere digital până în 2030,real
"Proiectul chinez de infrastructuri ‘Noul drum al mătăsii’, un instrument de ‘propagandă’ (ministru australian)",real
"China - Roboţii, trimişi în prima linie a luptei împotriva epidemiei de coronavirus",real
"Raport PwC: Tehnologia 5G va mări productivitatea, contribuind cu 1,3 trilioane de dolari la PIB-ul global, până în 2030",real
"INTERVIU Mihai Tudose: Soluția pentru re-industrializarea UE este în Europa de Est, de Sud și în țările balcanice. Se poate dezvolta în regiunea noastră atelierul de care are nevoie UE",real
Fake news combătut de OMS: Rețelele mobile 5G nu răspândesc COVID-19,real
"Iohannis: Crearea unui consens pentru o Românie digitală, începutul unui drum către o Românie normală",real
Apple a pierdut 100 de miliarde de dolari din capitalizarea sa bursieră,real
"Autoritățile din Marea Britanie cer companiilor de social media să ajute la eliminarea conspirației ""coronavirusul - provocat de 5G""",real
